date, sle_roaming_v2_impact_dist_by_site_c|aws|eu|flink-lag
2021-07-29 13:00:00,3007.473313242768
2021-07-29 13:00:30,3922.5834411752835
2021-07-29 13:01:00,817.5466045100987
2021-07-29 13:01:30,1863.4518346287803
2021-07-29 13:02:00,2830.445521598447
2021-07-29 13:02:30,3861.3478244146345
2021-07-29 13:03:00,662.2636314108457
2021-07-29 13:03:30,1627.7323634031247
2021-07-29 13:04:00,2568.914970560761
2021-07-29 13:04:30,3510.574508143918
2021-07-29 13:05:00,466.70514848925546
2021-07-29 13:05:30,1397.7235242443608
2021-07-29 13:06:00,2352.683518133588
2021-07-29 13:06:30,3244.7786924421234
2021-07-29 13:07:00,214.2015791594709
2021-07-29 13:07:30,1643.5682484069048
2021-07-29 13:08:00,2971.4766171288825
2021-07-29 13:08:30,3873.4034824473993
2021-07-29 13:09:00,943.4709093012134
2021-07-29 13:09:30,1881.402614551087
2021-07-29 13:10:00,2794.2183240625163
2021-07-29 13:10:30,3783.3579952393234
2021-07-29 13:11:00,761.60690286351
2021-07-29 13:11:30,1678.3983923756764
2021-07-29 13:12:00,2618.4297576937447
2021-07-29 13:12:30,3540.787344135289
2021-07-29 13:13:00,532.560602973515
2021-07-29 13:13:30,1540.1733706660702
2021-07-29 13:14:00,2474.7867560973536
2021-07-29 13:14:30,3368.8275085706478
2021-07-29 13:15:00,278.7882196730065
2021-07-29 13:15:30,1139.1067142700217
2021-07-29 13:16:00,2032.6034445319624
2021-07-29 13:16:30,2910.146272473144
2021-07-29 13:17:00,76.36075174610654
2021-07-29 13:17:30,1006.6329797596972
2021-07-29 13:18:00,1904.7567398398867
2021-07-29 13:18:30,3244.713425570777
2021-07-29 13:19:00,801.183002388311
2021-07-29 13:19:30,1679.1793224769724
2021-07-29 13:20:00,2527.083474499904
2021-07-29 13:20:30,3403.7623240376115
2021-07-29 13:21:00,569.0520771457008
2021-07-29 13:21:30,1462.986007778691
2021-07-29 13:22:00,2399.481243093862
2021-07-29 13:22:30,3252.742328061289
2021-07-29 13:23:00,379.3337872887132
2021-07-29 13:23:30,1298.558720941071
2021-07-29 13:24:00,2197.3213007582413
2021-07-29 13:24:30,3169.5217297011477
2021-07-29 13:25:00,181.9040492537498
2021-07-29 13:25:30,1009.4306833727688
2021-07-29 13:26:00,1925.8200763602667
2021-07-29 13:26:30,2876.0357012160143
2021-07-29 13:27:00,3761.5369690900507
2021-07-29 13:27:30,864.4662919005763
2021-07-29 13:28:00,1743.129153301692
2021-07-29 13:28:30,2574.3016096301308
2021-07-29 13:29:00,3474.3222324978265
2021-07-29 13:29:30,1108.33302359549
2021-07-29 13:30:00,2547.4897595453526
2021-07-29 13:30:30,3485.1159213870415
2021-07-29 13:31:00,446.8707953470597
2021-07-29 13:31:30,1278.4556835097387
2021-07-29 13:32:00,2201.667946693881
2021-07-29 13:32:30,3090.095743549125
2021-07-29 13:33:00,211.48357058869078
2021-07-29 13:33:30,1136.604151424362
2021-07-29 13:34:00,2088.9800146099933
2021-07-29 13:34:30,3029.888053709065
2021-07-29 13:35:00,57.0227887208095
2021-07-29 13:35:30,949.3376878858295
2021-07-29 13:36:00,1881.7481991449197
2021-07-29 13:36:30,2832.3294482124015
2021-07-29 13:37:00,3689.38942334944
2021-07-29 13:37:30,693.2440273947265
2021-07-29 13:38:00,1534.8110345728094
2021-07-29 13:38:30,2408.124395357152
2021-07-29 13:39:00,3285.5803021799193
2021-07-29 13:39:30,529.2222202651443
2021-07-29 13:40:00,1423.5929699382568
2021-07-29 13:40:30,2354.3211049151237
2021-07-29 13:41:00,3250.678621616202
2021-07-29 13:41:30,748.0705078300194
2021-07-29 13:42:00,2038.1353429058352
2021-07-29 13:42:30,2892.2972258974196
2021-07-29 13:43:00,66.81015068036113
2021-07-29 13:43:30,947.2525463954755
2021-07-29 13:44:00,1825.1801660282904
2021-07-29 13:44:30,2669.9479992504325
2021-07-29 13:45:00,3527.7291150710857
2021-07-29 13:45:30,777.5201084977532
2021-07-29 13:46:00,1704.217888107102
2021-07-29 13:46:30,2606.459695424951
2021-07-29 13:47:00,3563.5813046221097
2021-07-29 13:47:30,538.2559940636625
2021-07-29 13:48:00,1436.6368147581193
2021-07-29 13:48:30,2332.856422618603
2021-07-29 13:49:00,3258.4251825083543
2021-07-29 13:49:30,349.0011186959205
2021-07-29 13:50:00,1318.9070447117433
2021-07-29 13:50:30,2252.2151904345255
2021-07-29 13:51:00,3167.636426100785
2021-07-29 13:51:30,90.87861182014719
2021-07-29 13:52:00,1448.877121936723
2021-07-29 13:52:30,2715.5186859524274
2021-07-29 13:53:00,3606.5480103202835
2021-07-29 13:53:30,810.5307258875471
2021-07-29 13:54:00,1706.720062995402
2021-07-29 13:54:30,2579.55435375446
2021-07-29 13:55:00,3484.668851933097
2021-07-29 13:55:30,605.8256163070176
2021-07-29 13:56:00,1584.8631315429122
2021-07-29 13:56:30,2499.271455940204
2021-07-29 13:57:00,3370.25350795928
2021-07-29 13:57:30,385.76681899296517
2021-07-29 13:58:00,1309.9505328689859
2021-07-29 13:58:30,2221.9148155672706
2021-07-29 13:59:00,3140.6871196473676
2021-07-29 13:59:30,164.9251624523909
2021-07-29 14:00:00,1093.4996880059148
2021-07-29 14:00:30,2027.7478142905518
2021-07-29 14:01:00,2930.1918856354678
2021-07-29 14:01:30,3864.2550258946644
2021-07-29 14:02:00,932.9744128068251
2021-07-29 14:02:30,2291.2580483704946
2021-07-29 14:03:00,3631.3332382851972
2021-07-29 14:03:30,569.487926047187
