date,aws|production
2021-05-06 18:40:00,246244.83333333334
2021-05-06 18:42:00,246253.5
2021-05-06 18:44:00,246251.0
2021-05-06 18:46:00,246239.66666666666
2021-05-06 18:48:00,246224.0
2021-05-06 18:50:00,246231.0
2021-05-06 18:52:00,246248.33333333334
2021-05-06 18:54:00,246250.33333333334
2021-05-06 18:56:00,246256.66666666666
2021-05-06 18:58:00,246267.66666666666
2021-05-06 19:00:00,246294.16666666666
2021-05-06 19:02:00,246314.83333333334
2021-05-06 19:04:00,246317.5
2021-05-06 19:06:00,246327.0
2021-05-06 19:08:00,246325.66666666666
2021-05-06 19:10:00,246328.66666666666
2021-05-06 19:12:00,246325.0
2021-05-06 19:14:00,246328.5
2021-05-06 19:16:00,246337.16666666666
2021-05-06 19:18:00,246342.0
2021-05-06 19:20:00,246339.33333333334
2021-05-06 19:22:00,246292.0
2021-05-06 19:24:00,246250.33333333334
2021-05-06 19:26:00,246203.33333333334
2021-05-06 19:28:00,246198.5
2021-05-06 19:30:00,246202.66666666666
2021-05-06 19:32:00,246211.0
2021-05-06 19:34:00,246219.66666666666
2021-05-06 19:36:00,246234.33333333334
2021-05-06 19:38:00,246242.66666666666
2021-05-06 19:40:00,246234.83333333334
2021-05-06 19:42:00,246202.0
2021-05-06 19:44:00,246126.5
2021-05-06 19:46:00,246101.66666666666
2021-05-06 19:48:00,246094.33333333334
2021-05-06 19:50:00,246151.66666666666
2021-05-06 19:52:00,246237.66666666666
2021-05-06 19:54:00,246316.33333333334
2021-05-06 19:56:00,246380.16666666666
2021-05-06 19:58:00,246385.5
2021-05-06 20:00:00,246382.66666666666
2021-05-06 20:02:00,246386.16666666666
2021-05-06 20:04:00,246320.66666666666
2021-05-06 20:06:00,246186.83333333334
2021-05-06 20:08:00,246188.33333333334
2021-05-06 20:10:00,246267.0
2021-05-06 20:12:00,246401.83333333334
2021-05-06 20:14:00,246410.33333333334
2021-05-06 20:16:00,246411.33333333334
2021-05-06 20:18:00,246422.33333333334
2021-05-06 20:20:00,246422.0
2021-05-06 20:22:00,246421.0
2021-05-06 20:24:00,246415.33333333334
2021-05-06 20:26:00,246410.0
2021-05-06 20:28:00,246407.33333333334
2021-05-06 20:30:00,246398.33333333334
2021-05-06 20:32:00,246398.66666666666
2021-05-06 20:34:00,246398.66666666666
2021-05-06 20:36:00,246309.33333333334
2021-05-06 20:38:00,246294.66666666666
2021-05-06 20:40:00,246274.0
2021-05-06 20:42:00,246363.33333333334
2021-05-06 20:44:00,246369.33333333334
2021-05-06 20:46:00,246371.0
2021-05-06 20:48:00,246374.33333333334
2021-05-06 20:50:00,246374.33333333334
2021-05-06 20:52:00,246381.66666666666
2021-05-06 20:54:00,246369.66666666666
2021-05-06 20:56:00,246369.0
2021-05-06 20:58:00,246366.66666666666
2021-05-06 21:00:00,246356.33333333334
2021-05-06 21:02:00,246349.0
2021-05-06 21:04:00,246326.5
2021-05-06 21:06:00,246312.66666666666
2021-05-06 21:08:00,246298.66666666666
2021-05-06 21:10:00,246211.0
2021-05-06 21:12:00,246202.33333333334
2021-05-06 21:14:00,246181.33333333334
2021-05-06 21:16:00,246265.66666666666
2021-05-06 21:18:00,246279.33333333334
2021-05-06 21:20:00,246297.66666666666
2021-05-06 21:22:00,246312.66666666666
2021-05-06 21:24:00,244247.33333333334
2021-05-06 21:26:00,243211.0
2021-05-06 21:28:00,243202.33333333334
2021-05-06 21:30:00,246303.66666666666
2021-05-06 21:32:00,246300.66666666666
2021-05-06 21:34:00,246293.0
2021-05-06 21:36:00,246299.0
2021-05-06 21:38:00,246310.0
2021-05-06 21:40:00,246325.0
2021-05-06 21:42:00,246325.83333333334
2021-05-06 21:44:00,246315.83333333334
2021-05-06 21:46:00,245958.83333333334
2021-05-06 21:48:00,243698.83333333334
2021-05-06 21:50:00,242672.0
2021-05-06 21:52:00,243223.16666666666
2021-05-06 21:54:00,246353.66666666666
2021-05-06 21:56:00,246352.33333333334
2021-05-06 21:58:00,246361.33333333334
2021-05-06 22:00:00,246367.0
2021-05-06 22:02:00,246367.0
2021-05-06 22:04:00,246354.0
2021-05-06 22:06:00,246359.83333333334
2021-05-06 22:08:00,246374.33333333334
2021-05-06 22:10:00,246384.33333333334
2021-05-06 22:12:00,246375.66666666666
2021-05-06 22:14:00,246368.66666666666
2021-05-06 22:16:00,246043.33333333334
2021-05-06 22:18:00,245730.33333333334
2021-05-06 22:20:00,245413.0
2021-05-06 22:22:00,245389.33333333334
2021-05-06 22:24:00,245337.66666666666
2021-05-06 22:26:00,245313.66666666666
2021-05-06 22:28:00,245343.83333333334
2021-05-06 22:30:00,245399.16666666666
2021-05-06 22:32:00,245445.0
2021-05-06 22:34:00,245458.5
2021-05-06 22:36:00,245465.5
2021-05-06 22:38:00,245401.16666666666
2021-05-06 22:40:00,245305.5
2021-05-06 22:42:00,245219.66666666666
2021-05-06 22:44:00,245205.33333333334
2021-05-06 22:46:00,245245.66666666666
2021-05-06 22:48:00,245292.5
2021-05-06 22:50:00,245157.83333333334
2021-05-06 22:52:00,245097.0
2021-05-06 22:54:00,245136.16666666666
2021-05-06 22:56:00,245446.83333333334
2021-05-06 22:58:00,245492.66666666666
2021-05-06 23:00:00,245521.5
2021-05-06 23:02:00,245553.33333333334
2021-05-06 23:04:00,245593.33333333334
2021-05-06 23:06:00,245647.33333333334
2021-05-06 23:08:00,245694.5
2021-05-06 23:10:00,245721.0
2021-05-06 23:12:00,245725.33333333334
2021-05-06 23:14:00,245656.0
2021-05-06 23:16:00,245593.33333333334
2021-05-06 23:18:00,245538.0
2021-05-06 23:20:00,245556.66666666666
2021-05-06 23:22:00,245561.66666666666
2021-05-06 23:24:00,245569.33333333334
2021-05-06 23:26:00,245577.5
2021-05-06 23:28:00,245603.66666666666
2021-05-06 23:30:00,245632.66666666666
2021-05-06 23:32:00,245660.33333333334
2021-05-06 23:34:00,245671.33333333334
2021-05-06 23:36:00,245674.83333333334
2021-05-06 23:38:00,245671.33333333334
2021-05-06 23:40:00,245681.0
2021-05-06 23:42:00,245690.33333333334
2021-05-06 23:44:00,245706.0
2021-05-06 23:46:00,245727.0
2021-05-06 23:48:00,245757.33333333334
2021-05-06 23:50:00,245780.66666666666
2021-05-06 23:52:00,245804.0
2021-05-06 23:54:00,245817.66666666666
2021-05-06 23:56:00,245841.66666666666
2021-05-06 23:58:00,245864.0
2021-05-07 00:00:00,245890.33333333334
2021-05-07 00:02:00,245904.33333333334
2021-05-07 00:04:00,245911.33333333334
2021-05-07 00:06:00,245922.33333333334
2021-05-07 00:08:00,245942.33333333334
2021-05-07 00:10:00,245963.0
2021-05-07 00:12:00,245914.0
2021-05-07 00:14:00,245477.66666666666
2021-05-07 00:16:00,245514.83333333334
2021-05-07 00:18:00,245638.5
2021-05-07 00:20:00,246054.0
2021-05-07 00:22:00,246056.16666666666
2021-05-07 00:24:00,246050.83333333334
2021-05-07 00:26:00,246063.33333333334
2021-05-07 00:28:00,246079.83333333334
2021-05-07 00:30:00,246107.0
2021-05-07 00:32:00,246123.66666666666
2021-05-07 00:34:00,246155.5
2021-05-07 00:36:00,246198.66666666666
2021-05-07 00:38:00,246242.0
2021-05-07 00:40:00,246274.66666666666
2021-05-07 00:42:00,246292.66666666666
2021-05-07 00:44:00,246301.0
2021-05-07 00:46:00,246312.66666666666
2021-05-07 00:48:00,246329.33333333334
2021-05-07 00:50:00,246345.0
2021-05-07 00:52:00,246355.66666666666
2021-05-07 00:54:00,246369.66666666666
2021-05-07 00:56:00,246392.33333333334
2021-05-07 00:58:00,246410.33333333334
2021-05-07 01:00:00,246422.66666666666
2021-05-07 01:02:00,246432.33333333334
2021-05-07 01:04:00,246428.66666666666
2021-05-07 01:06:00,246429.83333333334
2021-05-07 01:08:00,246426.16666666666
2021-05-07 01:10:00,246422.66666666666
2021-05-07 01:12:00,246417.33333333334
2021-05-07 01:14:00,246407.33333333334
2021-05-07 01:16:00,246413.0
2021-05-07 01:18:00,246406.66666666666
2021-05-07 01:20:00,246403.33333333334
2021-05-07 01:22:00,246387.66666666666
2021-05-07 01:24:00,246273.33333333334
2021-05-07 01:26:00,246160.0
2021-05-07 01:28:00,246085.0
2021-05-07 01:30:00,246197.33333333334
2021-05-07 01:32:00,246317.66666666666
2021-05-07 01:34:00,246403.33333333334
2021-05-07 01:36:00,246408.33333333334
2021-05-07 01:38:00,246412.66666666666
2021-05-07 01:40:00,246412.33333333334
2021-05-07 01:42:00,246412.33333333334
2021-05-07 01:44:00,246408.0
2021-05-07 01:46:00,246406.0
2021-05-07 01:48:00,246404.83333333334
2021-05-07 01:50:00,246407.0
2021-05-07 01:52:00,246416.33333333334
2021-05-07 01:54:00,246423.0
2021-05-07 01:56:00,246426.0
2021-05-07 01:58:00,246422.33333333334
2021-05-07 02:00:00,246428.66666666666
2021-05-07 02:02:00,246430.16666666666
2021-05-07 02:04:00,246433.0
2021-05-07 02:06:00,246428.66666666666
2021-05-07 02:08:00,246422.66666666666
2021-05-07 02:10:00,244630.0
2021-05-07 02:12:00,244629.33333333334
2021-05-07 02:14:00,244631.66666666666
2021-05-07 02:16:00,246422.66666666666
2021-05-07 02:18:00,246425.33333333334
2021-05-07 02:20:00,246431.33333333334
2021-05-07 02:22:00,246434.33333333334
2021-05-07 02:24:00,246434.66666666666
2021-05-07 02:26:00,246428.5
2021-05-07 02:28:00,246413.66666666666
2021-05-07 02:30:00,246398.33333333334
2021-05-07 02:32:00,246387.0
2021-05-07 02:34:00,246393.66666666666
2021-05-07 02:36:00,246409.0
2021-05-07 02:38:00,246424.0
2021-05-07 02:40:00,246432.66666666666
2021-05-07 02:42:00,246425.66666666666
2021-05-07 02:44:00,246423.33333333334
2021-05-07 02:46:00,246420.66666666666
2021-05-07 02:48:00,246425.66666666666
2021-05-07 02:50:00,246420.66666666666
2021-05-07 02:52:00,246424.66666666666
2021-05-07 02:54:00,246428.5
2021-05-07 02:56:00,246440.83333333334
2021-05-07 02:58:00,246438.5
2021-05-07 03:00:00,246437.66666666666
2021-05-07 03:02:00,246362.33333333334
2021-05-07 03:04:00,246354.33333333334
2021-05-07 03:06:00,246350.83333333334
2021-05-07 03:08:00,246424.5
2021-05-07 03:10:00,246426.66666666666
2021-05-07 03:12:00,246422.33333333334
2021-05-07 03:14:00,229981.66666666666
2021-05-07 03:16:00,222722.16666666666
2021-05-07 03:18:00,222562.83333333334
2021-05-07 03:20:00,246421.33333333334
2021-05-07 03:22:00,246429.16666666666
2021-05-07 03:24:00,246432.5
2021-05-07 03:26:00,246430.0
2021-05-07 03:28:00,246427.66666666666
2021-05-07 03:30:00,246412.5
2021-05-07 03:32:00,246391.83333333334
2021-05-07 03:34:00,245514.16666666666
2021-05-07 03:36:00,245418.5
2021-05-07 03:38:00,245409.66666666666
2021-05-07 03:40:00,246214.5
2021-05-07 03:42:00,246282.16666666666
2021-05-07 03:44:00,246265.66666666666
2021-05-07 03:46:00,246298.66666666666
2021-05-07 03:48:00,246299.66666666666
2021-05-07 03:50:00,246303.33333333334
2021-05-07 03:52:00,246316.5
2021-05-07 03:54:00,246331.33333333334
2021-05-07 03:56:00,246339.0
2021-05-07 03:58:00,246324.0
2021-05-07 04:00:00,246308.66666666666
2021-05-07 04:02:00,246262.33333333334
2021-05-07 04:04:00,246223.33333333334
2021-05-07 04:06:00,246191.16666666666
2021-05-07 04:08:00,246206.83333333334
2021-05-07 04:10:00,246210.0
2021-05-07 04:12:00,246243.83333333334
2021-05-07 04:14:00,246280.16666666666
2021-05-07 04:16:00,246341.0
2021-05-07 04:18:00,246349.16666666666
2021-05-07 04:20:00,246355.16666666666
2021-05-07 04:22:00,246353.0
2021-05-07 04:24:00,246352.66666666666
2021-05-07 04:26:00,246356.33333333334
2021-05-07 04:28:00,246355.0
2021-05-07 04:30:00,246354.33333333334
2021-05-07 04:32:00,246350.5
2021-05-07 04:34:00,246121.0
2021-05-07 04:36:00,245880.66666666666
2021-05-07 04:38:00,245924.66666666666
2021-05-07 04:40:00,246142.33333333334
2021-05-07 04:42:00,246383.33333333334
2021-05-07 04:44:00,246390.66666666666
2021-05-07 04:46:00,246398.33333333334
2021-05-07 04:48:00,246397.33333333334
2021-05-07 04:50:00,246399.0
2021-05-07 04:52:00,246395.16666666666
2021-05-07 04:54:00,246402.16666666666
2021-05-07 04:56:00,246395.5
2021-05-07 04:58:00,246407.0
2021-05-07 05:00:00,246403.66666666666
2021-05-07 05:02:00,246411.0
2021-05-07 05:04:00,245775.66666666666
2021-05-07 05:06:00,245452.16666666666
2021-05-07 05:08:00,245446.5
2021-05-07 05:10:00,246388.0
2021-05-07 05:12:00,246400.33333333334
2021-05-07 05:14:00,246393.5
2021-05-07 05:16:00,246399.5
2021-05-07 05:18:00,246405.0
2021-05-07 05:20:00,246421.66666666666
2021-05-07 05:22:00,246409.0
2021-05-07 05:24:00,246402.16666666666
2021-05-07 05:26:00,246403.83333333334
2021-05-07 05:28:00,246413.66666666666
2021-05-07 05:30:00,246418.33333333334
2021-05-07 05:32:00,246429.0
2021-05-07 05:34:00,246436.33333333334
2021-05-07 05:36:00,246440.66666666666
2021-05-07 05:38:00,246442.0
2021-05-07 05:40:00,246437.0
2021-05-07 05:42:00,246423.33333333334
2021-05-07 05:44:00,246397.66666666666
2021-05-07 05:46:00,246385.66666666666
2021-05-07 05:48:00,246385.5
2021-05-07 05:50:00,246401.0
2021-05-07 05:52:00,246419.66666666666
2021-05-07 05:54:00,246433.66666666666
2021-05-07 05:56:00,246442.66666666666
2021-05-07 05:58:00,246446.66666666666
2021-05-07 06:00:00,246449.33333333334
2021-05-07 06:02:00,246452.66666666666
2021-05-07 06:04:00,246456.0
2021-05-07 06:06:00,246443.66666666666
2021-05-07 06:08:00,246439.66666666666
2021-05-07 06:10:00,246437.66666666666
2021-05-07 06:12:00,246450.66666666666
2021-05-07 06:14:00,246458.83333333334
2021-05-07 06:16:00,246458.83333333334
2021-05-07 06:18:00,246450.66666666666
2021-05-07 06:20:00,246448.83333333334
2021-05-07 06:22:00,246448.33333333334
2021-05-07 06:24:00,246457.0
2021-05-07 06:26:00,246456.66666666666
2021-05-07 06:28:00,246458.33333333334
2021-05-07 06:30:00,246460.66666666666
2021-05-07 06:32:00,246434.33333333334
2021-05-07 06:34:00,246437.66666666666
2021-05-07 06:36:00,246442.0
2021-05-07 06:38:00,246468.33333333334
2021-05-07 06:40:00,246470.66666666666
2021-05-07 06:42:00,246470.66666666666
2021-05-07 06:44:00,246479.0
2021-05-07 06:46:00,246478.33333333334
2021-05-07 06:48:00,246476.0
2021-05-07 06:50:00,246470.66666666666
2021-05-07 06:52:00,246465.66666666666
2021-05-07 06:54:00,246460.5
2021-05-07 06:56:00,246459.0
2021-05-07 06:58:00,246461.83333333334
2021-05-07 07:00:00,246459.66666666666
2021-05-07 07:02:00,246454.16666666666
2021-05-07 07:04:00,246448.16666666666
2021-05-07 07:06:00,246450.5
2021-05-07 07:08:00,246445.0
2021-05-07 07:10:00,246449.66666666666
2021-05-07 07:12:00,246440.66666666666
2021-05-07 07:14:00,246433.33333333334
2021-05-07 07:16:00,246417.66666666666
2021-05-07 07:18:00,246402.5
2021-05-07 07:20:00,246252.33333333334
2021-05-07 07:22:00,246069.5
2021-05-07 07:24:00,245906.33333333334
2021-05-07 07:26:00,245897.5
2021-05-07 07:28:00,245921.0
2021-05-07 07:30:00,245931.0
2021-05-07 07:32:00,245934.0
2021-05-07 07:34:00,245932.5
2021-05-07 07:36:00,245938.33333333334
2021-05-07 07:38:00,245944.0
2021-05-07 07:40:00,245952.33333333334
2021-05-07 07:42:00,245956.0
2021-05-07 07:44:00,245956.33333333334
2021-05-07 07:46:00,245953.33333333334
2021-05-07 07:48:00,245952.33333333334
2021-05-07 07:50:00,245950.0
2021-05-07 07:52:00,245952.33333333334
2021-05-07 07:54:00,245951.33333333334
2021-05-07 07:56:00,245953.0
2021-05-07 07:58:00,245952.0
2021-05-07 08:00:00,245957.33333333334
2021-05-07 08:02:00,245956.33333333334
2021-05-07 08:04:00,245960.33333333334
2021-05-07 08:06:00,245960.83333333334
2021-05-07 08:08:00,245956.16666666666
2021-05-07 08:10:00,245942.33333333334
2021-05-07 08:12:00,245927.0
2021-05-07 08:14:00,245924.16666666666
2021-05-07 08:16:00,245924.66666666666
2021-05-07 08:18:00,245925.83333333334
2021-05-07 08:20:00,245909.66666666666
2021-05-07 08:22:00,245901.66666666666
2021-05-07 08:24:00,245863.33333333334
2021-05-07 08:26:00,245839.16666666666
2021-05-07 08:28:00,245732.33333333334
2021-05-07 08:30:00,245745.0
2021-05-07 08:32:00,245784.5
2021-05-07 08:34:00,245904.0
2021-05-07 08:36:00,245941.16666666666
2021-05-07 08:38:00,245949.66666666666
2021-05-07 08:40:00,245955.33333333334
2021-05-07 08:42:00,245942.66666666666
2021-05-07 08:44:00,245939.0
2021-05-07 08:46:00,245929.0
2021-05-07 08:48:00,245927.33333333334
2021-05-07 08:50:00,245925.33333333334
2021-05-07 08:52:00,245936.5
2021-05-07 08:54:00,245951.66666666666
2021-05-07 08:56:00,245936.5
2021-05-07 08:58:00,245702.83333333334
2021-05-07 09:00:00,245475.16666666666
2021-05-07 09:02:00,245457.0
2021-05-07 09:04:00,245688.5
2021-05-07 09:06:00,245895.0
2021-05-07 09:08:00,245908.66666666666
2021-05-07 09:10:00,245870.0
2021-05-07 09:12:00,245860.5
2021-05-07 09:14:00,245858.66666666666
2021-05-07 09:16:00,245879.0
2021-05-07 09:18:00,245897.66666666666
2021-05-07 09:20:00,245928.16666666666
2021-05-07 09:22:00,246112.16666666666
2021-05-07 09:24:00,246275.0
2021-05-07 09:26:00,246426.0
2021-05-07 09:28:00,246418.16666666666
2021-05-07 09:30:00,246422.33333333334
2021-05-07 09:32:00,246421.0
2021-05-07 09:34:00,246423.83333333334
2021-05-07 09:36:00,246297.66666666666
2021-05-07 09:38:00,246163.83333333334
2021-05-07 09:40:00,246175.66666666666
2021-05-07 09:42:00,246290.33333333334
2021-05-07 09:44:00,246429.0
2021-05-07 09:46:00,246430.66666666666
2021-05-07 09:48:00,246429.0
2021-05-07 09:50:00,246424.66666666666
2021-05-07 09:52:00,244952.83333333334
2021-05-07 09:54:00,244940.5
2021-05-07 09:56:00,244941.16666666666
2021-05-07 09:58:00,246412.5
2021-05-07 10:00:00,246434.33333333334
2021-05-07 10:02:00,246426.5
2021-05-07 10:04:00,246418.66666666666
2021-05-07 10:06:00,246399.66666666666
2021-05-07 10:08:00,246397.66666666666
2021-05-07 10:10:00,246414.0
2021-05-07 10:12:00,246431.33333333334
2021-05-07 10:14:00,246450.0
2021-05-07 10:16:00,246449.0
2021-05-07 10:18:00,246449.33333333334
2021-05-07 10:20:00,246432.66666666666
2021-05-07 10:22:00,246404.0
2021-05-07 10:24:00,246369.66666666666
2021-05-07 10:26:00,246331.0
2021-05-07 10:28:00,246340.0
2021-05-07 10:30:00,246355.66666666666
2021-05-07 10:32:00,246396.33333333334
2021-05-07 10:34:00,246404.33333333334
2021-05-07 10:36:00,246396.66666666666
2021-05-07 10:38:00,246350.66666666666
2021-05-07 10:40:00,246330.16666666666
2021-05-07 10:42:00,246334.16666666666
2021-05-07 10:44:00,246381.33333333334
2021-05-07 10:46:00,246403.33333333334
2021-05-07 10:48:00,246418.66666666666
2021-05-07 10:50:00,246424.66666666666
