ev_name,event_node_name,ap_id,site_id,timestamp,ap,start_time_utc,entity_id,start_time
AP_CONFIGURED,apevents_ap_AP_CONFIGURED,d4-dc-09-24-4c-8c,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922205000000,d4dc09244c8c,15/02/22 10:50,d4dc09244c8c,1644922205000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-79-49,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644935820000000,d4dc09267949,15/02/22 14:37,d4dc09267949,1644935820000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-79-49,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644935748000000,d4dc09267949,15/02/22 14:35,d4dc09267949,1644935748000
AP_UPGRADED,apevents_ap_AP_UPGRADED,5c-5b-35-52-c0-01,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644969148000000,5c5b3552c001,15/02/22 23:52,5c5b3552c001,1644969148000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-79-b7,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644943703000000,d4dc092679b7,15/02/22 16:48,d4dc092679b7,1644943703000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-79-35,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644939522000000,d4dc09267935,15/02/22 15:38,d4dc09267935,1644939522000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-77-b4,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644940133000000,d4dc092677b4,15/02/22 15:48,d4dc092677b4,1644940133000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-77-b4,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644940093000000,d4dc092677b4,15/02/22 15:48,d4dc092677b4,1644940093000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-79-49,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644935790000000,d4dc09267949,15/02/22 14:36,d4dc09267949,1644935790000
AP_UPGRADED,apevents_ap_AP_UPGRADED,d4-dc-09-26-71-51,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644936407000000,d4dc09267151,15/02/22 14:46,d4dc09267151,1644936407000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-26-79-b7,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644947375000000,d4dc092679b7,15/02/22 17:49,d4dc092679b7,1644947375000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-4f-25,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922201000000,d4dc09244f25,15/02/22 10:50,d4dc09244f25,1644922201000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-71-62,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922202000000,d4dc09247162,15/02/22 10:50,d4dc09247162,1644922202000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-4e-2b,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922202000000,d4dc09244e2b,15/02/22 10:50,d4dc09244e2b,1644922202000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-4e-17,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644944731000000,d4dc09244e17,15/02/22 17:05,d4dc09244e17,1644944731000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-50-5b,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922202000000,d4dc0924505b,15/02/22 10:50,d4dc0924505b,1644922202000
AP_CONFIG_CHANGED_BY_RRM,apevents_ap_AP_CONFIG_CHANGED_BY_RRM,d4-dc-09-24-70-9a,d441485e-2f93-4a78-81c9-cf2672d4fbcd,1644922197000000,d4dc0924709a,15/02/22 10:49,d4dc0924709a,1644922197000
