date,terminator|aws|production
2021-05-07 15:45:00,247629.0
2021-05-07 15:55:00,247564.0
2021-05-07 16:05:00,247542.0
2021-05-07 16:15:00,249089.0
2021-05-07 16:25:00,250138.0
2021-05-07 16:35:00,247991.0
2021-05-07 16:45:00,247654.0
2021-05-07 16:55:00,247590.0
2021-05-07 17:05:00,247593.0
2021-05-07 17:15:00,247640.0
2021-05-07 17:25:00,247658.0
2021-05-07 17:35:00,247687.0
2021-05-07 17:45:00,247703.0
2021-05-07 17:55:00,247683.0
2021-05-07 18:05:00,247645.0
2021-05-07 18:15:00,247635.0
2021-05-07 18:25:00,247681.0
2021-05-07 18:35:00,247665.0
2021-05-07 18:45:00,247652.0
2021-05-07 18:55:00,247663.0
2021-05-07 19:05:00,247660.0
2021-05-07 19:15:00,247621.0
2021-05-07 19:25:00,247695.0
2021-05-07 19:35:00,247532.0
2021-05-07 19:45:00,247550.0
2021-05-07 19:55:00,247599.0
2021-05-07 20:05:00,247036.0
2021-05-07 20:15:00,247475.0
2021-05-07 20:25:00,247621.0
2021-05-07 20:35:00,247602.0
2021-05-07 20:45:00,247628.0
2021-05-07 20:55:00,247585.0
2021-05-07 21:05:00,247607.0
2021-05-07 21:15:00,247628.0
2021-05-07 21:25:00,247605.0
2021-05-07 21:35:00,247639.0
2021-05-07 21:45:00,247675.0
2021-05-07 21:55:00,247683.0
2021-05-07 22:05:00,247676.0
2021-05-07 22:15:00,247442.0
2021-05-07 22:25:00,247678.0
2021-05-07 22:35:00,247667.0
2021-05-07 22:45:00,247655.0
2021-05-07 22:55:00,247643.0
2021-05-07 23:05:00,247654.0
2021-05-07 23:15:00,247617.0
2021-05-07 23:25:00,247680.0
2021-05-07 23:35:00,247639.0
2021-05-07 23:45:00,247686.0
2021-05-07 23:55:00,247686.0
2021-05-08 00:05:00,247664.0
2021-05-08 00:15:00,247667.0
2021-05-08 00:25:00,247617.0
2021-05-08 00:35:00,247605.0
2021-05-08 00:45:00,247611.0
2021-05-08 00:55:00,247646.0
2021-05-08 01:05:00,247633.0
2021-05-08 01:15:00,247580.0
2021-05-08 01:25:00,247570.0
2021-05-08 01:35:00,247604.0
2021-05-08 01:45:00,247641.0
2021-05-08 01:55:00,247615.0
2021-05-08 02:05:00,247604.0
2021-05-08 02:15:00,247510.0
2021-05-08 02:25:00,247233.0
2021-05-08 02:35:00,247510.0
2021-05-08 02:45:00,247562.0
2021-05-08 02:55:00,247542.0
2021-05-08 03:05:00,247582.0
2021-05-08 03:15:00,247566.0
2021-05-08 03:25:00,247549.0
2021-05-08 03:35:00,247553.0
2021-05-08 03:45:00,247556.0
2021-05-08 03:55:00,247503.0
2021-05-08 04:05:00,247562.0
2021-05-08 04:15:00,247532.0
