date,dizzy_updater|production
2021-07-29 11:00:00,2802.177705081846
2021-07-29 11:05:00,943.1068033282878
2021-07-29 11:10:00,843.1634634299712
2021-07-29 11:15:00,896.4735467797893
2021-07-29 11:20:00,759.8197403997183
2021-07-29 11:25:00,4202.299651584646
2021-07-29 11:30:00,4088.6100203597407
2021-07-29 11:35:00,3313.8628858550346
2021-07-29 11:40:00,4876.895866537386
2021-07-29 11:45:00,4020.261756888396
2021-07-29 11:50:00,10398.57496326718
2021-07-29 11:55:00,8584.70887666464
2021-07-29 12:00:00,6357.591558737651
2021-07-29 12:05:00,6166.000957388576
2021-07-29 12:10:00,7492.509447560462
2021-07-29 12:15:00,4518.63365043195
2021-07-29 12:20:00,5308.445893387531
2021-07-29 12:25:00,5759.677798393738
2021-07-29 12:30:00,6432.382045536532
2021-07-29 12:35:00,5659.652237423291
2021-07-29 12:40:00,6464.6557012004205
2021-07-29 12:45:00,8148.522430565855
2021-07-29 12:50:00,10174.543504600817
2021-07-29 12:55:00,10401.97739620734
2021-07-29 13:00:00,11401.223719314741
2021-07-29 13:05:00,18903.709738692985
2021-07-29 13:10:00,14790.755242110325
2021-07-29 13:15:00,30107.886808474803
2021-07-29 13:20:00,14131.676396620056
2021-07-29 13:25:00,11154.665180770557
2021-07-29 13:30:00,11506.907982136461
2021-07-29 13:35:00,10516.396072305866
2021-07-29 13:40:00,14048.628752709417
2021-07-29 13:45:00,30516.002971573685
2021-07-29 13:50:00,26690.849755933235
2021-07-29 13:55:00,12520.944914735597
2021-07-29 14:00:00,11126.86637613674
2021-07-29 14:05:00,11515.540842458679
2021-07-29 14:10:00,17959.329061326614
2021-07-29 14:15:00,12056.564540189436
2021-07-29 14:20:00,20573.583769112418
2021-07-29 14:25:00,11893.594639372495
2021-07-29 14:30:00,35516.81642345631
2021-07-29 14:35:00,12012.817120671272
2021-07-29 14:40:00,33908.090138228654
2021-07-29 14:45:00,16628.725424739652
2021-07-29 14:50:00,20495.200262095655
2021-07-29 14:55:00,22402.06361137091
2021-07-29 15:00:00,23520.033556822105
2021-07-29 15:05:00,26756.965483229742
2021-07-29 15:10:00,16197.349560835388
2021-07-29 15:15:00,96307.67660785865
2021-07-29 15:20:00,92484.16617080946
2021-07-29 15:25:00,24419.826910607786
2021-07-29 15:30:00,17935.20882686948
2021-07-29 15:35:00,18470.864377202983
2021-07-29 15:40:00,16739.69929336732
2021-07-29 15:45:00,18518.21478763456
2021-07-29 15:50:00,25717.872971813944
2021-07-29 15:55:00,33459.53209456961
2021-07-29 16:00:00,25130.041053648896
2021-07-29 16:05:00,19288.262850986826
2021-07-29 16:10:00,30926.635494638
2021-07-29 16:15:00,18051.21245110035
2021-07-29 16:20:00,40481.308539670295
2021-07-29 16:25:00,26150.222646298378
2021-07-29 16:30:00,22136.580476586623
2021-07-29 16:35:00,19198.935227155685
2021-07-29 16:40:00,41200.36353645029
2021-07-29 16:45:00,26937.35967767707
2021-07-29 16:50:00,49165.05419556305
2021-07-29 16:55:00,20363.47361958027
2021-07-29 17:00:00,29305.004885764414
2021-07-29 17:05:00,21364.84116639949
2021-07-29 17:10:00,21645.665097011075
2021-07-29 17:15:00,28457.5080110989
2021-07-29 17:20:00,23704.106854504582
2021-07-29 17:25:00,22282.157096028328
2021-07-29 17:30:00,28950.01565542494
2021-07-29 17:35:00,39993.97185983826
2021-07-29 17:40:00,50383.389532821035
2021-07-29 17:45:00,51861.27973486711
2021-07-29 17:50:00,27154.8765410008
2021-07-29 17:55:00,24098.357915997505
2021-07-29 18:00:00,28952.371946423078
2021-07-29 18:05:00,41410.18188588848
2021-07-29 18:10:00,47770.59263397829
2021-07-29 18:15:00,25237.31531214714
2021-07-29 18:20:00,35215.102346687054
2021-07-29 18:25:00,31239.077225375957
2021-07-29 18:30:00,28386.787456123726
2021-07-29 18:35:00,44349.40776131456
2021-07-29 18:40:00,31303.067960092405
2021-07-29 18:45:00,26975.67409515381
2021-07-29 18:50:00,34660.92640509613
2021-07-29 18:55:00,35020.96934339061
2021-07-29 19:00:00,48950.21926608444
2021-07-29 19:05:00,33672.98860918756
2021-07-29 19:10:00,33203.17297277952
2021-07-29 19:15:00,37928.86275457472
2021-07-29 19:20:00,31811.328911884695
2021-07-29 19:25:00,34441.98692504994
2021-07-29 19:30:00,35659.796405864734
2021-07-29 19:35:00,30004.465870141983
2021-07-29 19:40:00,34225.177433316916
2021-07-29 19:45:00,34178.09992233357
2021-07-29 19:50:00,36027.684110727736
2021-07-29 19:55:00,37010.74369837755
2021-07-29 20:00:00,59309.52442105388
2021-07-29 20:05:00,39044.388067436754
2021-07-29 20:10:00,36279.091695478084
2021-07-29 20:15:00,37237.3160703388
2021-07-29 20:20:00,35035.2207226368
2021-07-29 20:25:00,33621.682027166
2021-07-29 20:30:00,47590.05636295752
2021-07-29 20:35:00,36447.758247194935
2021-07-29 20:40:00,34771.6700737377
2021-07-29 20:45:00,35155.650967253816
2021-07-29 20:50:00,44031.405722249576
2021-07-29 20:55:00,35285.743990927935
2021-07-29 21:00:00,39056.5408388236
2021-07-29 21:05:00,37327.17752686142
2021-07-29 21:10:00,42356.81618467712
2021-07-29 21:15:00,36346.68347534537
2021-07-29 21:20:00,36984.139961842724
2021-07-29 21:25:00,36633.77531659603
2021-07-29 21:30:00,37680.78231310182
2021-07-29 21:35:00,47326.68806493455
2021-07-29 21:40:00,53535.1112080451
2021-07-29 21:45:00,37795.2202886343
2021-07-29 21:50:00,42465.4420294064
2021-07-29 21:55:00,40731.87957060813
2021-07-29 22:00:00,39308.994400404394
2021-07-29 22:05:00,40189.37119232102
2021-07-29 22:10:00,71764.87233429536
2021-07-29 22:15:00,40136.33627381792
2021-07-29 22:20:00,56060.7584871821
2021-07-29 22:25:00,44095.01327451932
2021-07-29 22:30:00,40983.12528436966
2021-07-29 22:35:00,42389.71773437171
2021-07-29 22:40:00,55697.22812726706
2021-07-29 22:45:00,41722.63407268814
2021-07-29 22:50:00,53746.08557327879
2021-07-29 22:55:00,42631.24021742439
2021-07-29 23:00:00,42285.111520051956
2021-07-29 23:05:00,43305.84680383098
2021-07-29 23:10:00,44604.383477233794
2021-07-29 23:15:00,43179.35116958618
2021-07-29 23:20:00,44006.356937311444
2021-07-29 23:25:00,44219.97051501771
2021-07-29 23:30:00,44134.595602333546
2021-07-29 23:35:00,46119.11015233288
2021-07-29 23:40:00,45697.46060192611
2021-07-29 23:45:00,46702.231140753174
2021-07-29 23:50:00,45554.65806424587
2021-07-29 23:55:00,49927.81291156201
2021-07-30 00:00:00,47018.512962405024
2021-07-30 00:05:00,46600.967910316154
2021-07-30 00:10:00,46583.96510207653
2021-07-30 00:15:00,47837.74873829756
2021-07-30 00:20:00,48248.798841509306
2021-07-30 00:25:00,48229.59350730114
2021-07-30 00:30:00,55332.14331593816
2021-07-30 00:35:00,48413.06520641767
2021-07-30 00:40:00,57741.581134328684
2021-07-30 00:45:00,56099.36484665019
2021-07-30 00:50:00,51439.758217637645
2021-07-30 00:55:00,64230.122663849186
2021-07-30 01:00:00,50500.15361214939
2021-07-30 01:05:00,66078.25143722324
2021-07-30 01:10:00,56980.37203042195
2021-07-30 01:15:00,53961.21146536566
2021-07-30 01:20:00,52471.88313679593
2021-07-30 01:25:00,54836.04260379076
2021-07-30 01:30:00,54522.32087243227
2021-07-30 01:35:00,53043.12770366728
2021-07-30 01:40:00,55013.84994438599
2021-07-30 01:45:00,55546.609474580124
2021-07-30 01:50:00,55457.870963036214
2021-07-30 01:55:00,57299.63414344957
2021-07-30 02:00:00,59389.003867479696
2021-07-30 02:05:00,108774.2165402982
2021-07-30 02:10:00,55625.325671573344
2021-07-30 02:15:00,54681.4471671995
